clueweb12-1414wb-83-06172,-4607.216,-4786.355
clueweb12-1706wb-79-09204,-1976.621,-2052.267
clueweb12-0406wb-12-03376,-1492.232,-1629.477
clueweb12-1700wb-61-24943,-2.557,-2.836
clueweb12-0601wb-52-31113,-464.359,-487.157
clueweb12-0007wb-15-01723,-2528.536,-2623.208
clueweb12-0204wb-62-02123,-3890.978,-4041.941
clueweb12-0103wb-88-03488,-26419.730,-26661.672
clueweb12-1114wb-84-19394,-2135.548,-2262.521
clueweb12-1408wb-98-23394,-25251.451,-26906.711
clueweb12-1714wb-47-29421,-6335.506,-6524.438
clueweb12-1504wb-31-02323,-18279.879,-19571.186
clueweb12-0210wb-31-25524,-5647.986,-5875.057
clueweb12-1315wb-92-05106,-2827.182,-2858.224
clueweb12-1805wb-87-31979,-1608.406,-1708.203
clueweb12-0013wb-82-21639,-4128.386,-4344.245
clueweb12-0700tw-59-04320,-1954.445,-2025.231
clueweb12-1807wb-70-19821,-2.557,-2.836
clueweb12-0101wb-57-00895,-1501.804,-1547.154
clueweb12-0300wb-48-15629,-100045.820,-106852.719
clueweb12-1813wb-27-19918,-2426.000,-2513.339
clueweb12-1102wb-32-11038,-38207.281,-41005.840
clueweb12-1705wb-98-18260,-2359.392,-2501.892
clueweb12-0208wb-26-10895,-6213.648,-6492.940
clueweb12-1005wb-16-08923,-334.041,-352.719
clueweb12-1501wb-40-28266,-2252.321,-2279.208
clueweb12-0207wb-42-15352,-457.479,-487.835
clueweb12-0000wb-33-26607,-2.557,-2.836
clueweb12-0103wb-00-13076,-6386.462,-6427.930
clueweb12-1200wb-96-17029,-6480.750,-6968.145
clueweb12-0103wb-34-15662,-12050.691,-12205.702
clueweb12-0808wb-94-07743,-623.135,-623.084
clueweb12-0201wb-35-33177,-1615.643,-1659.568
clueweb12-0703wb-93-13969,-1710.570,-1856.343
clueweb12-0210wb-99-03248,-686.941,-767.053
clueweb12-0700wb-29-05624,-362.390,-385.430
clueweb12-0805wb-52-19872,-30668.312,-31480.990
clueweb12-1710wb-64-16650,-2056.122,-2089.883
clueweb12-1901wb-31-18149,-2.557,-2.836
clueweb12-1206wb-90-05324,-1580.304,-1636.131
clueweb12-0200tw-75-15354,-2908.196,-3177.416
clueweb12-0208wb-13-07246,-11978.060,-11985.329
clueweb12-1714wb-56-14463,-1090.605,-1134.548
clueweb12-1702wb-44-24026,-11374.692,-12004.717
clueweb12-0011wb-84-21846,-4043.548,-4224.609
clueweb12-0208wb-26-30017,-2526.313,-2548.313
clueweb12-0606wb-70-14585,-4407.879,-4562.372
clueweb12-1501wb-32-02577,-2.557,-2.836
clueweb12-0209wb-12-02455,-1354.298,-1438.585
clueweb12-0009wb-89-09859,-28958.963,-29741.771
clueweb12-0111wb-23-24817,-19038.775,-20532.699
clueweb12-1809wb-00-09021,-1543.388,-1630.321
clueweb12-1503wb-69-02029,-199.246,-211.840
clueweb12-1803wb-37-12247,-2.557,-2.836
clueweb12-0001wb-53-08246,-421.352,-414.988
